Date,Close,daily_return,log_return,volatility_30d,volatility_7d,ma_7d,std_7d,pct_vs_ma7,ma_30d,std_30d,pct_vs_ma30,ma_90d,std_90d,pct_vs_ma90,ma_200d,std_200d,pct_vs_ma200,lag_1d,lag_7d,lag_14d,lag_30d,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,BB_width,BB_pos,year,month,quarter,day_of_week,week_of_year,unit
2017-12-21,52519.294170694426,0.0011208804643485504,0.0011202527468612627,1.1489930017435683,0.04038716785559892,49142.109722088826,3981.4267665752996,6.872282178572389,35460.33207355145,9161.696309070072,48.107169616346106,,,,,,,52460.49222980393,44754.883557185065,28025.917348595336,23435.07563842926,87.58899356122238,6688.544100554966,5275.465338702929,1413.0787618520362,58002.163126522064,38672.117121785974,19342.071117049883,0.9996890495476127,0.8581775502633278,2017,12,4,3,51,INR/ETH
2017-12-22,43197.58315308672,-0.1774911709077992,-0.19539606194162118,1.293574053286439,0.08655950137755657,49028.493584122974,4160.192094838441,-11.892901463577685,36078.534226672746,9031.998835845276,19.732090227631495,,,,,,,52519.294170694426,43992.89611884765,29433.334017178044,24651.518559447723,66.99507751875984,6001.4476205564715,5420.661795073638,580.7858254828334,58307.62212076201,39337.38720445534,20367.152288148674,0.9644888115069373,0.6017434935745731,2017,12,4,4,51,INR/ETH
2017-12-23,46047.74539876869,0.06597966917689257,0.06389425349507372,1.2896334165168784,0.08998980644834877,49214.052422085115,3961.7238379885466,-6.43374578496512,36727.91075734811,9024.846555062752,25.37534656679586,,,,,,,43197.58315308672,44748.83353303373,30560.95476297522,26566.44947850774,68.34173582232715,5622.094972115687,5460.948430482048,161.14654163363866,58805.16032130273,40137.41259862578,21469.664875948827,0.9301918840337053,0.6583033177848924,2017,12,4,5,51,INR/ETH
2017-12-24,44432.203782051336,-0.0350840546638479,-0.03571428471546085,1.2358140601821868,0.09041993819719174,48950.59686889519,4241.106465628557,-9.230516839141934,37186.66862661901,9056.00475247908,19.484227609046485,,,,,,,46047.74539876869,46276.39265438076,28509.732480187435,30669.467703924514,69.054373002166,5131.936785569356,5395.146101499509,-263.209315930153,59009.286815375875,40842.4032005046,22675.519585633334,0.8896089451781732,0.5988006709804523,2017,12,4,6,51,INR/ETH
2017-12-25,49019.346392303705,0.10323914232913589,0.09825052758647035,1.2571852482286765,0.09099236411224944,48679.826770325526,4154.426733656341,0.6974544580449188,37816.9193742971,9203.38730026148,29.622791077002763,,,,,,,44432.203782051336,50914.737082291394,33212.362226443365,30111.823961961083,68.96860028657429,5055.352012476891,5327.187283694986,-271.83527121809493,59540.20078533601,41802.73140121992,24065.26201710383,0.848627292502636,0.7034285397426976,2017,12,4,0,52,INR/ETH
2017-12-26,49533.627672836185,0.010491394079730654,0.010436741328222764,1.2572059934530546,0.0891855275322937,48172.89897136357,3721.682162500974,2.8246768007080156,38453.43338623041,9334.860793958309,28.814577297468112,,,,,,,49019.346392303705,53082.122265569866,41919.58580409084,30438.20731483656,61.37332576587622,4978.764135566853,5257.50265406936,-278.73851850250685,59620.24766341676,42900.28292522966,26180.318187042554,0.779480394911526,0.6983659909418285,2017,12,4,1,52,INR/ETH
2017-12-27,48843.39752165228,-0.013934577046179508,-0.01403257470054778,1.2608925248990224,0.0892123535704283,47656.17115591333,3248.142228550649,2.4912332169002496,39048.062860133614,9411.853445760922,25.085328039458986,,,,,,,49533.627672836185,52460.49222980393,45363.6138542695,31004.51330455625,55.66381276129114,4806.960241191693,5167.394171493826,-360.4339303021334,59298.666907357765,43941.15693388251,28583.646960407244,0.6990034421070632,0.6596040177162843,2017,12,4,2,52,INR/ETH
2017-12-28,47254.22872797819,-0.03253600024383263,-0.033077064324841796,1.2654077179674543,0.0896375242914569,46904.01894981101,2444.518674225827,0.746651962898773,39607.5064781022,9383.204070530954,19.306245027324884,,,,,,,48843.39752165228,52519.294170694426,44754.883557185065,30470.92018892057,53.94219932755665,4490.804576972863,5032.076252589634,-541.2716756167711,58634.73834929499,44832.20166942252,31029.664989550045,0.6157420856395903,0.5877384757139245,2017,12,4,3,52,INR/ETH
2017-12-29,48276.60675376374,0.021635693848077286,0.021404964288008494,1.2190852842553563,0.051677641772127865,47629.59374990773,1840.070140076434,1.3584264590903896,40297.979736796064,9227.12897923012,19.79907446745376,,,,,,,47254.22872797819,43197.58315308672,43992.89611884765,27562.40899294801,56.70161753468599,4273.484231542461,4880.357848380199,-606.8736168377382,57835.18223534654,45717.98426896194,33600.78630257734,0.530084524072554,0.6055781415761011,2017,12,4,4,52,INR/ETH
2017-12-30,45948.9166148128,-0.04821569483587351,-0.04941684006742787,1.233402709722812,0.05170497643428391,47615.47535219975,1854.5522750230114,-3.500035912820006,40869.58492700384,9019.141404950644,12.428146008531847,,,,,,,48276.60675376374,46047.74539876869,44748.83353303373,28800.76090857945,51.78945802540911,3868.83364518873,4678.053007741905,-809.2193625531754,55606.29066582884,46589.94347569321,37573.59628555758,0.3870512182458267,0.46445196445062625,2017,12,4,5,52,INR/ETH
2017-12-31,48477.82492159959,0.05503738701798966,0.053576204231864905,1.2356515009199927,0.05249491091410468,48193.42122927807,1218.5006960375688,0.5901297004179868,41482.460779152425,8885.19341678773,16.86342615904498,,,,,,,45948.9166148128,44432.203782051336,46276.39265438076,30091.549357142067,53.18739801396905,3709.4467128867327,4484.331748770871,-774.8850358841382,53827.483938406855,47353.21661045102,40878.94928249518,0.2734457251855175,0.5868521682980199,2017,12,4,6,52,INR/ETH
2018-01-01,49326.01994901197,0.017496557008985336,0.017345254553935034,1.2333078880818666,0.035300423421135325,48237.231737379254,1258.0179939192437,2.257153183168696,42130.25539412951,8717.898572986818,17.07980283424801,,,,,,,48477.82492159959,49019.346392303705,50914.737082291394,29892.181499699363,47.41615093691642,3609.960295601697,4309.457458137036,-699.4971625353392,53718.73812993952,47723.53831769708,41728.33850545464,0.25124707947395725,0.6336470577712794,2018,1,1,0,1,INR/ETH
2018-01-02,56487.313227457926,0.14518287276874453,0.13556433846175714,1.2847233144505514,0.06515260312969053,49230.6153880395,3390.456711315439,14.740213548460801,43011.59125119945,8790.422123401162,31.330442757991868,,,,,,,49326.01994901197,49533.627672836185,53082.122265569866,30047.237515359884,54.76421936512051,4062.1472068857183,4259.995407886773,-197.8482010010548,55325.05278154612,48279.7232863565,41234.39379116688,0.29185459301008776,1.0824844634097162,2018,1,1,1,1,INR/ETH
2018-01-03,61094.208459423855,0.08155628173383467,0.07840100549504708,1.294442999638856,0.06667937907237483,50980.73123629258,5599.490226485301,19.837842608133503,44036.98514169774,9050.719304939916,38.733858057814615,,,,,,,56487.313227457926,48843.39752165228,52460.49222980393,30332.39174447488,60.86756628783712,4737.634039565528,4355.523134222524,382.11090534300365,57972.58272330663,49096.68953146844,40220.796339630244,0.3615678888552844,1.1758485410226958,2018,1,1,2,1,INR/ETH
2018-01-04,62209.191906769294,0.01825023149429894,0.01808569489160723,1.288076594637323,0.06068784907449739,53117.15454754845,6687.888567014911,17.116951080431082,45116.865459323475,9226.025758512484,37.88456106919915,,,,,,,61094.208459423855,47254.22872797819,52519.294170694426,29812.782377997413,61.881111918929165,5301.81603202808,4544.7817137836355,757.0343182444449,60303.23025583665,50007.50432086452,39711.778385892394,0.4117672367295668,1.0925608190704383,2018,1,1,3,1,INR/ETH
2018-01-05,63225.1138478145,0.016330736823711334,0.0161988245532208,1.251500586317028,0.06101044021228275,55252.655560984276,7247.810096068965,14.429095227885917,46304.94934782924,9185.030519861524,36.54072564227622,,,,,,,62209.191906769294,48276.60675376374,43197.58315308672,27582.597192641348,80.83740171719055,5764.461610798331,4788.717693186575,975.7439176117559,62479.77283285443,50931.31833660356,39382.863840352686,0.45349128486828016,1.0322701628690232,2018,1,1,4,1,INR/ETH
2018-01-06,66010.84665315226,0.04406054233517298,0.043117478521551726,1.25124287657469,0.04690958250515829,58118.64556646134,6914.553894367885,13.579464920024373,47571.11365798114,9196.481710776381,38.76245809115597,,,,,,,63225.1138478145,45948.9166148128,46047.74539876869,28025.917348595336,80.7993055166503,6283.465047459533,5087.667164041167,1195.797883418366,65054.92133076873,51918.041036542134,38781.16074231554,0.5060622485729113,1.0363832698849589,2018,1,1,5,1,INR/ETH
